id,project_is_approved
p036502,0.959808
p039565,0.70251644
p233823,0.97525626
p185307,0.5377049
p013780,0.9407428
p063374,0.93289965
p103285,0.9285809
p181781,0.97370034
p114989,0.9696046
p191410,0.9633926
p030093,0.9782685
p226941,0.9103489
p225747,0.8580271
p173555,0.7224763
p055350,0.9127332
p060293,0.9914214
p199435,0.8359977
p074849,0.9619074
p232007,0.79708564
p037127,0.60420907
p230221,0.94315326
p116615,0.8424808
p106275,0.9789829
p070918,0.8915981
p144291,0.9639023
p116102,0.9057466
p070029,0.9760391
p107356,0.9818673
p031939,0.97731
p044085,0.9701972
p081434,0.6573291
p010969,0.8899907
p156550,0.9397764
p048313,0.9700675
p139731,0.13754106
p048657,0.9602249
p234430,0.97694814
p000139,0.935026
p240738,0.9469658
p047586,0.9818451
p006436,0.94849217
p211511,0.97585166
p220000,0.6102186
p183686,0.8236208
p045806,0.7740132
p246581,0.87878305
p228935,0.9588911
p176012,0.9711739
p229479,0.83295697
p040831,0.32550728
p091593,0.89234626
p151958,0.6602217
p123997,0.98779696
p017606,0.9612888
p009578,0.8879197
p245173,0.8270303
p130035,0.44837016
p207223,0.40092784
p069404,0.6251214
p186381,0.95847476
p056807,0.9041089
p131333,0.7830831
p164867,0.8213976
p250930,0.95566654
p051288,0.9736401
p183614,0.9417958
p141508,0.7401665
p240150,0.66486096
p253358,0.8817692
p055462,0.9706709
p100203,0.3566983
p216335,0.8465996
p215118,0.31722802
p123326,0.95618486
p216043,0.902357
p190639,0.87018
p035608,0.92825234
p194533,0.87824905
p005330,0.6187304
p217173,0.9053523
p243195,0.9283805
p204162,0.86357415
p088899,0.91753894
p218286,0.9882757
p024688,0.9592026
p148544,0.71505094
p061723,0.93763095
p062414,0.9748209
p150704,0.8805562
p064902,0.92620075
p160114,0.8479616
p054727,0.9671686
p233164,0.9686939
p164497,0.7565741
p164688,0.99686515
p226536,0.9825694
p037347,0.97293395
p052732,0.92499506
p254241,0.94513386
p041330,0.87050027
p125834,0.9753901
p187995,0.9901768
p155536,0.86725456
p026602,0.32003418
p115298,0.44339117
p106596,0.9541565
p165433,0.9781267
p098471,0.7098793
p063585,0.9837853
p189501,0.9155431
p194442,0.9707135
p192882,0.8387934
p224095,0.9479784
p229044,0.8396662
p184985,0.9281557
p043794,0.9793569
p187912,0.83546495
p014440,0.4751145
p216020,0.9653574
p006709,0.8513237
p203245,0.976731
p187425,0.86662674
p144561,0.9588847
p136090,0.968497
p087047,0.5600527
p238272,0.51005554
p130693,0.80084693
p226289,0.935495
p180326,0.9211911
p040632,0.9719769
p034499,0.8488482
p239997,0.94722384
p052235,0.43397498
p038927,0.963799
p131142,0.8932471
p204524,0.87759274
p140243,0.87156916
p180887,0.81174725
p219599,0.6926723
p017822,0.7994159
p217021,0.98615056
p147821,0.5530914
p248139,0.7659767
p259140,0.96818113
p223647,0.9496363
p093002,0.95292366
p221872,0.88883555
p215459,0.9977921
p066620,0.95972717
p081060,0.2746388
p183977,0.95643294
p240306,0.8493886
p213029,0.96924084
p212992,0.98730075
p180302,0.10173007
p235350,0.9482797
p237684,0.93039197
p238717,0.20556477
p193494,0.95639306
p049944,0.9830383
p136607,0.3313252
p118854,0.88840234
p234505,0.98481846
p052216,0.45940104
p245427,0.60593426
p158118,0.52698463
p071001,0.97153664
p182501,0.9698742
p146058,0.94314384
p042293,0.8913209
p115004,0.96402436
p115192,0.970955
p236095,0.93730944
p119822,0.9665578
p162357,0.87491417
p003113,0.93481714
p123344,0.98501474
p187063,0.9991624
p201306,0.9337888
p211816,0.95999736
p195741,0.96771383
p099269,0.7722282
p107791,0.8604248
p115615,0.6611105
p197316,0.8027655
p177771,0.92353886
p186739,0.91034496
p063841,0.8859274
p203033,0.95004034
p233835,0.98018265
p212550,0.9350475
p258544,0.8901436
p044379,0.9499303
p184796,0.92872316
p143384,0.9566599
p031504,0.954367
p175812,0.32739443
p138696,0.83162487
p053239,0.9574723
p186474,0.7640132
p251442,0.9677156
p248874,0.20194936
p202078,0.9826021
p028190,0.95543325
p186116,0.52820885
p114742,0.40413865
p127236,0.73316437
p042695,0.79663265
p074651,0.71105087
p135613,0.8638476
p103073,0.97606194
p047101,0.8558632
p230013,0.8439474
p121216,0.95638335
p069480,0.98486376
p003912,0.9729822
p004106,0.6756055
p094984,0.97457206
p149901,0.9699957
p002664,0.9796837
p122811,0.93712074
p245373,0.51231515
p234758,0.63226163
p195088,0.6405218
p006052,0.88936245
p202247,0.9588677
p016144,0.71643287
p074355,0.93683416
p234396,0.36759293
p118623,0.19890249
p158160,0.9474329
p127789,0.95427924
p061523,0.7350718
p026905,0.9706066
p005210,0.9465245
p051538,0.90048313
p169365,0.3868332
p219524,0.8530663
p211297,0.58273923
p134575,0.8716682
p232835,0.9294944
p123512,0.9080532
p126679,0.6866347
p066635,0.9470388
p034114,0.9785174
p093160,0.98809624
p107177,0.900708
p050042,0.87280685
p183233,0.97090137
p016944,0.89482594
p237630,0.9938699
p014358,0.98665726
p170707,0.9342588
p099599,0.84879065
p137096,0.8486889
p259044,0.94053143
p257275,0.704646
p128547,0.28685087
p028446,0.9206837
p141276,0.9160959
p188159,0.9614183
p016540,0.94662
p248857,0.8815509
p091786,0.81854105
p162522,0.99463063
p159485,0.9754723
p127549,0.84710646
p067599,0.9587103
p015936,0.97653353
p107409,0.7315513
p049510,0.8876459
p209945,0.9183706
p110080,0.92751825
p071144,0.96320885
p129069,0.9150771
p215280,0.95622253
p100325,0.9455692
p166837,0.8270856
p233488,0.974318
p166669,0.9407471
p005267,0.9707093
p216482,0.31096563
p220659,0.96911764
p219548,0.39059
p017698,0.5515639
p242756,0.9975203
p106309,0.9661911
p228303,0.94218796
p196940,0.9469463
p198892,0.76061106
p226846,0.97844857
p104554,0.9901455
p152306,0.63941866
p230685,0.90151805
p090023,0.97335064
p216489,0.83844423
p196513,0.9461495
p054598,0.74034524
p002897,0.99562424
p108330,0.73253566
p028143,0.72881544
p036719,0.9414007
p122152,0.94124985
p249357,0.9015776
p203970,0.9116003
p229272,0.38408732
p193975,0.9067625
p047179,0.92964345
p174574,0.9463134
p018118,0.9882771
p021908,0.38937187
p117242,0.98864424
p219794,0.9062581
p161193,0.41318402
p164362,0.8826874
p180470,0.96893346
p017065,0.96266925
p253387,0.57471275
p009247,0.9831322
p125711,0.783885
p195930,0.9094404
p142538,0.6748837
p139718,0.86448926
p000705,0.9798422
p256022,0.15403436
p142837,0.81173956
p074777,0.44889235
p167908,0.9417599
p162945,0.8949863
p220647,0.7962664
p164811,0.984727
p205541,0.82766354
p161535,0.9130539
p122997,0.980487
p131669,0.8176581
p024643,0.950963
p254231,0.6714444
p138235,0.9403478
p239419,0.5295155
p000677,0.88436574
p119996,0.96934634
p093282,0.92466986
