id,project_is_approved
p036502,0.9568084
p039565,0.7337076
p233823,0.9605629
p185307,0.6836896
p013780,0.9655035
p063374,0.9236714
p103285,0.96701574
p181781,0.95514137
p114989,0.97998583
p191410,0.9599244
p030093,0.9741195
p226941,0.8803816
p225747,0.9147574
p173555,0.61685973
p055350,0.9504307
p060293,0.9928552
p199435,0.8939088
p074849,0.8791665
p232007,0.98378927
p037127,0.71373117
p230221,0.9387843
p116615,0.7957307
p106275,0.97333354
p070918,0.9070505
p144291,0.9558816
p116102,0.9358117
p070029,0.95817614
p107356,0.9828366
p031939,0.93149585
p044085,0.9758819
p081434,0.81192887
p010969,0.94990224
p156550,0.8993497
p048313,0.96455824
p139731,0.18583348
p048657,0.9147474
p234430,0.9758601
p000139,0.8925397
p240738,0.9694489
p047586,0.98391783
p006436,0.94255894
p211511,0.9495045
p220000,0.4179862
p183686,0.6921162
p045806,0.88615644
p246581,0.943497
p228935,0.96934557
p176012,0.9526636
p229479,0.81143105
p040831,0.3031342
p091593,0.91689646
p151958,0.65598047
p123997,0.98503387
p017606,0.9377065
p009578,0.91609895
p245173,0.873876
p130035,0.29094666
p207223,0.37948185
p069404,0.5887059
p186381,0.9795705
p056807,0.9222242
p131333,0.8594357
p164867,0.8941635
p250930,0.89432275
p051288,0.9781871
p183614,0.96944916
p141508,0.80277884
p240150,0.81759584
p253358,0.81743765
p055462,0.964663
p100203,0.4746781
p216335,0.8598833
p215118,0.333958
p123326,0.9580611
p216043,0.97184527
p190639,0.8021547
p035608,0.91221035
p194533,0.7790473
p005330,0.79854184
p217173,0.85115623
p243195,0.9259793
p204162,0.89391375
p088899,0.9615057
p218286,0.95969135
p024688,0.95552576
p148544,0.6290778
p061723,0.95484036
p062414,0.9801914
p150704,0.9061672
p064902,0.91862595
p160114,0.81933993
p054727,0.9619733
p233164,0.9615102
p164497,0.88406783
p164688,0.9925307
p226536,0.9751221
p037347,0.9489851
p052732,0.93127906
p254241,0.9648002
p041330,0.892625
p125834,0.9690567
p187995,0.9888304
p155536,0.75437754
p026602,0.37495634
p115298,0.56285775
p106596,0.92693293
p165433,0.95775473
p098471,0.78135866
p063585,0.9813876
p189501,0.90541536
p194442,0.98302203
p192882,0.87936974
p224095,0.9271531
p229044,0.8172439
p184985,0.9007168
p043794,0.96413106
p187912,0.8146159
p014440,0.56189394
p216020,0.95615387
p006709,0.9197327
p203245,0.96504724
p187425,0.8935479
p144561,0.97000206
p136090,0.9686392
p087047,0.38299116
p238272,0.55354923
p130693,0.83846074
p226289,0.950199
p180326,0.87087595
p040632,0.9497754
p034499,0.89628536
p239997,0.93748885
p052235,0.57703674
p038927,0.97225934
p131142,0.9165314
p204524,0.91708565
p140243,0.91016865
p180887,0.85264313
p219599,0.7560951
p017822,0.85293925
p217021,0.9916707
p147821,0.80695695
p248139,0.83246917
p259140,0.9610211
p223647,0.9699766
p093002,0.9781823
p221872,0.96018714
p215459,0.9907465
p066620,0.94849664
p081060,0.37481946
p183977,0.9571934
p240306,0.87770164
p213029,0.96684945
p212992,0.98186654
p180302,0.11986758
p235350,0.97234535
p237684,0.9777934
p238717,0.28091225
p193494,0.91442585
p049944,0.98251075
p136607,0.37749654
p118854,0.89393187
p234505,0.986081
p052216,0.4009224
p245427,0.55681443
p158118,0.6313298
p071001,0.97221595
p182501,0.94219387
p146058,0.96118146
p042293,0.96157455
p115004,0.9761594
p115192,0.9725131
p236095,0.8544423
p119822,0.9320618
p162357,0.8528458
p003113,0.9482027
p123344,0.9814459
p187063,0.99818164
p201306,0.88352334
p211816,0.96088076
p195741,0.9707982
p099269,0.8730709
p107791,0.9053171
p115615,0.68772995
p197316,0.90128314
p177771,0.94974315
p186739,0.89588153
p063841,0.918557
p203033,0.9719933
p233835,0.9807795
p212550,0.9383319
p258544,0.8692206
p044379,0.8844594
p184796,0.9293953
p143384,0.9814149
p031504,0.9201206
p175812,0.57222784
p138696,0.8412072
p053239,0.95292836
p186474,0.76918244
p251442,0.93844175
p248874,0.16344945
p202078,0.9937976
p028190,0.94523776
p186116,0.4096201
p114742,0.6589485
p127236,0.7689625
p042695,0.83050835
p074651,0.721037
p135613,0.92142695
p103073,0.9636124
p047101,0.90835285
p230013,0.8394362
p121216,0.96560514
p069480,0.9390787
p003912,0.95423746
p004106,0.79163945
p094984,0.97720945
p149901,0.9809635
p002664,0.9785429
p122811,0.90458906
p245373,0.38918263
p234758,0.64307135
p195088,0.51031435
p006052,0.93206847
p202247,0.96932924
p016144,0.6142851
p074355,0.9036533
p234396,0.5048465
p118623,0.14582086
p158160,0.89556086
p127789,0.96104354
p061523,0.7524141
p026905,0.9797403
p005210,0.9542953
p051538,0.9095133
p169365,0.36185914
p219524,0.83368903
p211297,0.41434664
p134575,0.7896372
p232835,0.8930893
p123512,0.93415785
p126679,0.696481
p066635,0.9590374
p034114,0.97930765
p093160,0.9956881
p107177,0.87137395
p050042,0.82213104
p183233,0.973732
p016944,0.842193
p237630,0.9903965
p014358,0.9872936
p170707,0.93333656
p099599,0.88999987
p137096,0.9638645
p259044,0.95672095
p257275,0.76084393
p128547,0.31983674
p028446,0.8221614
p141276,0.85781324
p188159,0.88256776
p016540,0.94716537
p248857,0.78729886
p091786,0.8066589
p162522,0.9891545
p159485,0.97947466
p127549,0.8989271
p067599,0.9245036
p015936,0.9675409
p107409,0.6882461
p049510,0.91117555
p209945,0.91667575
p110080,0.932552
p071144,0.96703273
p129069,0.88244975
p215280,0.95183724
p100325,0.9278749
p166837,0.88265
p233488,0.95762205
p166669,0.9323864
p005267,0.97816247
p216482,0.2581181
p220659,0.9011385
p219548,0.35033444
p017698,0.5675483
p242756,0.9980335
p106309,0.95079243
p228303,0.8716508
p196940,0.9608666
p198892,0.83718824
p226846,0.9602871
p104554,0.9876768
p152306,0.8116466
p230685,0.93039167
p090023,0.94254935
p216489,0.8146386
p196513,0.9510907
p054598,0.7468575
p002897,0.99595034
p108330,0.79475164
p028143,0.8368003
p036719,0.95509404
p122152,0.9337452
p249357,0.8402766
p203970,0.8595985
p229272,0.5398986
p193975,0.9556621
p047179,0.9269613
p174574,0.9588402
p018118,0.9958045
p021908,0.46517405
p117242,0.9888132
p219794,0.88287914
p161193,0.49250668
p164362,0.8568853
p180470,0.97947884
p017065,0.9621315
p253387,0.6123022
p009247,0.97257745
p125711,0.6425998
p195930,0.9153868
p142538,0.7285651
p139718,0.8678854
p000705,0.969474
p256022,0.11739087
p142837,0.87883455
p074777,0.42717987
p167908,0.9311224
