id,project_is_approved
p036502,0.9458293
p039565,0.78495294
p233823,0.95218486
p185307,0.71315944
p013780,0.9753898
p063374,0.90055513
p103285,0.93719846
p181781,0.9595515
p114989,0.9735559
p191410,0.9547734
p030093,0.97539693
p226941,0.90862215
p225747,0.9058238
p173555,0.65737534
p055350,0.9342087
p060293,0.99076974
p199435,0.90770787
p074849,0.8508326
p232007,0.96879685
p037127,0.70737445
p230221,0.9291536
p116615,0.88224906
p106275,0.9754063
p070918,0.8914385
p144291,0.9485407
p116102,0.9591075
p070029,0.9511135
p107356,0.97090167
p031939,0.94553775
p044085,0.93230027
p081434,0.84724104
p010969,0.9260885
p156550,0.93707097
p048313,0.94876176
p139731,0.18480527
p048657,0.91707456
p234430,0.97325915
p000139,0.88612354
p240738,0.97243756
p047586,0.9903251
p006436,0.91955054
p211511,0.96397847
p220000,0.35377985
p183686,0.8121265
p045806,0.8803401
p246581,0.9258078
p228935,0.9793007
p176012,0.95999783
p229479,0.85082275
p040831,0.3225713
p091593,0.92557544
p151958,0.68184614
p123997,0.9705232
p017606,0.9477745
p009578,0.86475384
p245173,0.87740993
p130035,0.42766517
p207223,0.34822434
p069404,0.61023873
p186381,0.9627515
p056807,0.8718368
p131333,0.84175634
p164867,0.913902
p250930,0.9288165
p051288,0.9701227
p183614,0.9471655
p141508,0.821867
p240150,0.83705187
p253358,0.86784077
p055462,0.98366946
p100203,0.3230891
p216335,0.8354438
p215118,0.32659334
p123326,0.95815957
p216043,0.9533661
p190639,0.87080395
p035608,0.9349955
p194533,0.7854462
p005330,0.77777493
p217173,0.8601171
p243195,0.93607503
p204162,0.9030077
p088899,0.9774132
p218286,0.9809993
p024688,0.9379611
p148544,0.66428137
p061723,0.95616215
p062414,0.98132575
p150704,0.8692873
p064902,0.94175595
p160114,0.8475884
p054727,0.9497324
p233164,0.95963544
p164497,0.88416994
p164688,0.9945877
p226536,0.97538006
p037347,0.96592885
p052732,0.9374794
p254241,0.9322136
p041330,0.9065773
p125834,0.9703692
p187995,0.9907839
p155536,0.8113804
p026602,0.44407004
p115298,0.5620476
p106596,0.9538606
p165433,0.96482927
p098471,0.8664834
p063585,0.97468984
p189501,0.92366105
p194442,0.98638135
p192882,0.8884468
p224095,0.9383851
p229044,0.80777156
p184985,0.8661438
p043794,0.97177297
p187912,0.7764293
p014440,0.6042453
p216020,0.94952506
p006709,0.8981798
p203245,0.9739707
p187425,0.8986885
p144561,0.93430054
p136090,0.9792019
p087047,0.42162246
p238272,0.66287506
p130693,0.8316991
p226289,0.9429687
p180326,0.88248557
p040632,0.95363414
p034499,0.88108575
p239997,0.9517375
p052235,0.545519
p038927,0.9667824
p131142,0.8746067
p204524,0.91886234
p140243,0.92134035
p180887,0.8247593
p219599,0.6791431
p017822,0.8214156
p217021,0.99350244
p147821,0.8042294
p248139,0.8574893
p259140,0.95661545
p223647,0.94125414
p093002,0.969741
p221872,0.94410527
p215459,0.983514
p066620,0.9336837
p081060,0.35571438
p183977,0.9600185
p240306,0.8548969
p213029,0.9755907
p212992,0.98729277
p180302,0.11489837
p235350,0.98515254
p237684,0.99266356
p238717,0.30931598
p193494,0.91572654
p049944,0.9727499
p136607,0.49458727
p118854,0.90460235
p234505,0.9834669
p052216,0.46405616
p245427,0.72356904
p158118,0.6361071
p071001,0.9593466
p182501,0.95852536
p146058,0.96180505
p042293,0.9345285
p115004,0.97360677
p115192,0.9635084
p236095,0.8008305
p119822,0.9481842
p162357,0.8406435
p003113,0.95728654
p123344,0.97657716
p187063,0.99622184
p201306,0.9193109
p211816,0.9422819
p195741,0.95999944
p099269,0.8540182
p107791,0.89273053
p115615,0.656415
p197316,0.90477866
p177771,0.9186303
p186739,0.90608513
p063841,0.858836
p203033,0.947955
p233835,0.9779871
p212550,0.9502198
p258544,0.91657144
p044379,0.90207654
p184796,0.94259214
p143384,0.980319
p031504,0.8999611
p175812,0.5575355
p138696,0.880002
p053239,0.96642745
p186474,0.80208284
p251442,0.9465977
p248874,0.22401126
p202078,0.9868528
p028190,0.9434265
p186116,0.51619196
p114742,0.72974586
p127236,0.6684909
p042695,0.8277834
p074651,0.7778258
p135613,0.90151346
p103073,0.9736878
p047101,0.94179857
p230013,0.9138233
p121216,0.945063
p069480,0.9700324
p003912,0.93260515
p004106,0.70519006
p094984,0.97404003
p149901,0.9808114
p002664,0.9801754
p122811,0.89124423
p245373,0.55974597
p234758,0.61315954
p195088,0.60308653
p006052,0.87576616
p202247,0.9455246
p016144,0.6398357
p074355,0.9145068
p234396,0.44665757
p118623,0.22110271
p158160,0.82714975
p127789,0.97214234
p061523,0.75229615
p026905,0.9748622
p005210,0.9618969
p051538,0.9071623
p169365,0.39672428
p219524,0.81417024
p211297,0.5657008
p134575,0.79506105
p232835,0.8998963
p123512,0.91819704
p126679,0.69978946
p066635,0.954568
p034114,0.9667839
p093160,0.99405605
p107177,0.90667784
p050042,0.82746935
p183233,0.9860238
p016944,0.83561593
p237630,0.9898478
p014358,0.98384
p170707,0.90364444
p099599,0.8548233
p137096,0.9416674
p259044,0.9514575
p257275,0.7950311
p128547,0.30908045
p028446,0.8967085
p141276,0.88151425
p188159,0.89910716
p016540,0.89034003
p248857,0.7482749
p091786,0.8323951
p162522,0.9896612
p159485,0.98132
p127549,0.8153001
p067599,0.9213213
p015936,0.9736333
p107409,0.70647764
p049510,0.8923418
p209945,0.9090608
p110080,0.95215493
p071144,0.953745
p129069,0.9090721
p215280,0.96885574
p100325,0.94224656
p166837,0.88181174
p233488,0.9568826
p166669,0.91308117
p005267,0.96638095
p216482,0.17789213
p220659,0.8877384
p219548,0.39744338
p017698,0.52592254
p242756,0.99627686
p106309,0.9419538
p228303,0.893707
p196940,0.9558822
p198892,0.87933016
p226846,0.94606704
p104554,0.9882771
p152306,0.77638876
p230685,0.9254778
p090023,0.9572261
p216489,0.78775764
p196513,0.94055474
p054598,0.66982734
p002897,0.99290735
p108330,0.873865
p028143,0.7976019
p036719,0.95244056
p122152,0.95598364
p249357,0.84882754
p203970,0.8728321
p229272,0.46552038
p193975,0.9427965
p047179,0.90162927
p174574,0.9280964
p018118,0.992788
