id,project_is_approved
p036502,0.95018435
p039565,0.34042913
p233823,0.98384035
p185307,0.5373312
p013780,0.9350108
p063374,0.93643314
p103285,0.9524258
p181781,0.9772623
p114989,0.96906185
p191410,0.94416016
p030093,0.98219955
p226941,0.9022436
p225747,0.868419
p173555,0.6558695
p055350,0.9305786
p060293,0.99306613
p199435,0.8701164
p074849,0.93725014
p232007,0.82859385
p037127,0.5573547
p230221,0.93174094
p116615,0.92180645
p106275,0.9534035
p070918,0.8339136
p144291,0.9579648
p116102,0.88547695
p070029,0.956415
p107356,0.9874032
p031939,0.968322
p044085,0.9644801
p081434,0.6397878
p010969,0.91722965
p156550,0.91279876
p048313,0.9650834
p139731,0.10371506
p048657,0.9318579
p234430,0.9745536
p000139,0.90269506
p240738,0.9068054
p047586,0.9758272
p006436,0.9511792
p211511,0.9432597
p220000,0.5600388
p183686,0.7356096
p045806,0.8094894
p246581,0.80224764
p228935,0.9658836
p176012,0.96974957
p229479,0.7544807
p040831,0.23004231
p091593,0.8825747
p151958,0.58427805
p123997,0.987319
p017606,0.9418944
p009578,0.8517106
p245173,0.7910782
p130035,0.33394256
p207223,0.43447146
p069404,0.569214
p186381,0.95454013
p056807,0.886222
p131333,0.7053744
p164867,0.75229865
p250930,0.95225036
p051288,0.9733432
p183614,0.90976715
p141508,0.6571398
p240150,0.66697866
p253358,0.90941846
p055462,0.98349154
p100203,0.272044
p216335,0.86253244
p215118,0.22807893
p123326,0.9325124
p216043,0.9068201
p190639,0.79045063
p035608,0.89441526
p194533,0.83075255
p005330,0.60137427
p217173,0.82619226
p243195,0.9031334
p204162,0.83586895
p088899,0.9395777
p218286,0.99222124
p024688,0.93699867
p148544,0.6649631
p061723,0.9332956
p062414,0.9548709
p150704,0.81943953
p064902,0.93898344
p160114,0.78313315
p054727,0.9402628
p233164,0.96143645
p164497,0.6598945
p164688,0.9971312
p226536,0.9836027
p037347,0.946685
p052732,0.914822
p254241,0.93182766
p041330,0.89635533
p125834,0.969683
p187995,0.99272835
p155536,0.76033336
p026602,0.31406716
p115298,0.41657582
p106596,0.89225817
p165433,0.96691245
p098471,0.60147774
p063585,0.9813156
p189501,0.83834136
p194442,0.9431938
p192882,0.74950755
p224095,0.94701844
p229044,0.8163743
p184985,0.8956726
p043794,0.9727491
p187912,0.77039516
p014440,0.40374812
p216020,0.96074104
p006709,0.8772546
p203245,0.9721616
p187425,0.84827584
p144561,0.9438286
p136090,0.9373559
p087047,0.4165147
p238272,0.488377
p130693,0.78885084
p226289,0.8925413
p180326,0.82692516
p040632,0.9896406
p034499,0.8077265
p239997,0.94046766
p052235,0.3809227
p038927,0.953952
p131142,0.9162394
p204524,0.9374445
p140243,0.8837306
p180887,0.7522713
p219599,0.6989416
p017822,0.73893976
p217021,0.9863514
p147821,0.48050076
p248139,0.7581192
p259140,0.95622814
p223647,0.9558072
p093002,0.95462215
p221872,0.852815
p215459,0.9962095
p066620,0.9632226
p081060,0.33645648
p183977,0.9234703
p240306,0.83045304
p213029,0.9435868
p212992,0.9795001
p180302,0.058197457
p235350,0.9637788
p237684,0.8254446
p238717,0.20108858
p193494,0.9182256
p049944,0.893027
p136607,0.35829556
p118854,0.87503415
p234505,0.98343533
p052216,0.42651716
p245427,0.46927792
p158118,0.31685013
p071001,0.96183044
p182501,0.9609438
p146058,0.95526326
p042293,0.84053314
p115004,0.962934
p115192,0.9800213
p236095,0.9420536
p119822,0.96466273
p162357,0.87953484
p003113,0.904593
p123344,0.977236
p187063,0.9991835
p201306,0.9004847
p211816,0.96205884
p195741,0.9400815
p099269,0.79928243
p107791,0.8479827
p115615,0.603933
p197316,0.79548997
p177771,0.8995169
p186739,0.8920355
p063841,0.84771633
p203033,0.950184
p233835,0.9674765
p212550,0.93921804
p258544,0.8567294
p044379,0.9378761
p184796,0.9079911
p143384,0.9277779
p031504,0.9368593
p175812,0.28657252
p138696,0.82781994
p053239,0.95485437
p186474,0.83829087
p251442,0.9378441
p248874,0.17105755
p202078,0.96172285
p028190,0.956816
p186116,0.40206861
p114742,0.4617463
p127236,0.7488518
p042695,0.77382034
p074651,0.6519385
p135613,0.85195255
p103073,0.9583677
p047101,0.869316
p230013,0.8704605
p121216,0.94539565
p069480,0.95996857
p003912,0.9812873
p004106,0.62586933
p094984,0.9525059
p149901,0.9744956
p002664,0.9856947
p122811,0.8938405
p245373,0.33273524
p234758,0.45797992
p195088,0.5786548
p006052,0.878619
p202247,0.94408685
p016144,0.5214569
p074355,0.93801993
p234396,0.2754434
p118623,0.16212739
p158160,0.9240754
p127789,0.8811224
p061523,0.71843404
p026905,0.9630316
p005210,0.94514453
p051538,0.7911416
p169365,0.29097542
p219524,0.73566103
p211297,0.5490259
p134575,0.76219666
p232835,0.9059291
p123512,0.90306157
p126679,0.57640505
p066635,0.9592617
p034114,0.96627235
p093160,0.9892003
p107177,0.9093793
p050042,0.7842129
p183233,0.9615097
p016944,0.8850632
p237630,0.99210006
p014358,0.9773673
p170707,0.9345317
p099599,0.80332816
p137096,0.8725254
p259044,0.9375557
p257275,0.5506323
p128547,0.25084585
p028446,0.8473589
p141276,0.9062889
p188159,0.95861566
p016540,0.9529282
p248857,0.786867
p091786,0.6850017
p162522,0.9882752
p159485,0.96824896
p127549,0.823176
p067599,0.9555689
p015936,0.9485675
p107409,0.7119104
p049510,0.8362114
p209945,0.9023627
p110080,0.934178
p071144,0.9605727
p129069,0.86548644
