id,project_is_approved
p036502,0.9414915
p039565,0.47034281
p233823,0.98095
p185307,0.7482169
p013780,0.97818327
p063374,0.9567973
p103285,0.925556
p181781,0.9660512
p114989,0.97207546
p191410,0.9617173
p030093,0.9781973
p226941,0.8604654
p225747,0.90433264
p173555,0.6695215
p055350,0.96355313
p060293,0.99156487
p199435,0.90420485
p074849,0.8116865
p232007,0.9813038
p037127,0.75749373
p230221,0.93326634
p116615,0.93496007
p106275,0.9700488
p070918,0.9080893
p144291,0.94548976
p116102,0.91766864
p070029,0.92514145
p107356,0.9902441
p031939,0.9363141
p044085,0.9722516
p081434,0.83048934
p010969,0.8974652
p156550,0.92166823
p048313,0.9389308
p139731,0.18041131
p048657,0.94236434
p234430,0.9633282
p000139,0.8811215
p240738,0.9744607
p047586,0.99394006
p006436,0.9254284
p211511,0.95741576
p220000,0.41481215
p183686,0.75213605
p045806,0.91693527
p246581,0.8993801
p228935,0.95910585
p176012,0.97114086
p229479,0.8714668
p040831,0.30450988
p091593,0.94910634
p151958,0.72203857
p123997,0.97656393
p017606,0.92700565
p009578,0.8970599
p245173,0.8653983
p130035,0.33882087
p207223,0.4798216
p069404,0.6993789
p186381,0.9724585
p056807,0.8754055
p131333,0.8924867
p164867,0.9412073
p250930,0.91289854
p051288,0.9758069
p183614,0.9705447
p141508,0.89070874
p240150,0.8195877
p253358,0.8538553
p055462,0.9893451
p100203,0.3168704
p216335,0.8253609
p215118,0.3002451
p123326,0.9555801
p216043,0.97687006
p190639,0.87119734
p035608,0.9498946
p194533,0.815141
p005330,0.8121518
p217173,0.8660208
p243195,0.9445143
p204162,0.8996607
p088899,0.9773399
p218286,0.98518217
p024688,0.9410845
p148544,0.56547296
p061723,0.9554306
p062414,0.97085065
p150704,0.9085063
p064902,0.95718306
p160114,0.8392237
p054727,0.9611457
p233164,0.95580864
p164497,0.88391703
p164688,0.9935341
p226536,0.9881015
p037347,0.94611645
p052732,0.922956
p254241,0.9244226
p041330,0.8653221
p125834,0.97111225
p187995,0.9918025
p155536,0.793398
p026602,0.37922102
p115298,0.54244626
p106596,0.9448841
p165433,0.9457201
p098471,0.7672309
p063585,0.96801394
p189501,0.9272545
p194442,0.9828293
p192882,0.8256962
p224095,0.965858
p229044,0.82513934
p184985,0.87419385
p043794,0.9671179
p187912,0.83697927
p014440,0.56702876
p216020,0.9680508
p006709,0.8777067
p203245,0.9674001
p187425,0.92261565
p144561,0.9774936
p136090,0.9602987
p087047,0.4586153
p238272,0.6142962
p130693,0.7845342
p226289,0.9377745
p180326,0.90792525
p040632,0.9437089
p034499,0.9127673
p239997,0.9364468
p052235,0.5314512
p038927,0.98001844
p131142,0.913344
p204524,0.8999618
p140243,0.9018955
p180887,0.83658
p219599,0.6544945
p017822,0.78011554
p217021,0.9906373
p147821,0.8054638
p248139,0.8895342
p259140,0.95409554
p223647,0.96813333
p093002,0.9648045
p221872,0.9513264
p215459,0.98918265
p066620,0.97528696
p081060,0.5221467
p183977,0.9342357
p240306,0.88692796
p213029,0.9801316
p212992,0.9776813
p180302,0.11154419
p235350,0.9779105
p237684,0.97707355
p238717,0.38625637
p193494,0.9155346
p049944,0.971141
p136607,0.5475176
p118854,0.9413252
p234505,0.98949367
p052216,0.3850549
p245427,0.5820936
p158118,0.5181795
p071001,0.97701013
p182501,0.96180516
p146058,0.94844997
p042293,0.9265701
p115004,0.96586686
p115192,0.98599434
p236095,0.848091
p119822,0.95617086
p162357,0.9231679
p003113,0.945212
p123344,0.97926205
p187063,0.9961441
p201306,0.9078293
p211816,0.97394323
p195741,0.915496
p099269,0.84591544
p107791,0.8972392
p115615,0.63255256
p197316,0.9052804
p177771,0.9217955
p186739,0.88521516
p063841,0.8960897
p203033,0.9673284
p233835,0.97645694
p212550,0.954903
p258544,0.8732346
p044379,0.92292804
p184796,0.89517814
p143384,0.98068684
p031504,0.9344624
p175812,0.50290906
p138696,0.8533783
p053239,0.94901574
p186474,0.8168381
p251442,0.924338
p248874,0.15545739
p202078,0.9952394
p028190,0.9472787
p186116,0.47009927
p114742,0.68708944
p127236,0.548351
p042695,0.8045825
p074651,0.8047272
p135613,0.9271862
p103073,0.9564686
p047101,0.9080672
p230013,0.91938287
p121216,0.93485165
p069480,0.9587041
p003912,0.9279973
p004106,0.70116913
p094984,0.98177004
p149901,0.9797613
p002664,0.97126627
p122811,0.9003848
p245373,0.40701634
p234758,0.6479255
p195088,0.644899
p006052,0.9167603
p202247,0.95900613
p016144,0.63553333
p074355,0.9410572
p234396,0.5446792
p118623,0.18623923
p158160,0.89349765
p127789,0.945251
p061523,0.7413002
p026905,0.9841102
p005210,0.96058863
p051538,0.8620202
p169365,0.3291114
p219524,0.849974
p211297,0.47913337
p134575,0.78154385
p232835,0.8578415
p123512,0.9150162
p126679,0.71054876
p066635,0.93644553
p034114,0.97112477
p093160,0.9917518
p107177,0.9102044
p050042,0.8251134
p183233,0.9866735
p016944,0.90188706
p237630,0.9836799
p014358,0.98314315
p170707,0.91603965
p099599,0.8412552
p137096,0.9584881
p259044,0.97970617
p257275,0.76986283
p128547,0.32933015
p028446,0.9082416
p141276,0.842795
p188159,0.92636955
p016540,0.90577424
p248857,0.79976475
p091786,0.75157493
p162522,0.98951167
p159485,0.9809083
p127549,0.88414896
p067599,0.94617623
p015936,0.96302414
p107409,0.67770547
p049510,0.9270396
p209945,0.959706
p110080,0.97362643
p071144,0.950817
p129069,0.9266505
p215280,0.9588435
p100325,0.9112714
p166837,0.8476118
p233488,0.95404816
