id,project_is_approved
p036502,0.95558393
p039565,0.8891295
p233823,0.9376431
p185307,0.7296607
p013780,0.9464331
p063374,0.9044505
p103285,0.9515331
p181781,0.91827244
p114989,0.9572447
p191410,0.93629616
p030093,0.91480047
p226941,0.8548998
p225747,0.8637082
p173555,0.8177591
p055350,0.86207795
p060293,0.9786885
p199435,0.92425007
p074849,0.92071825
p232007,0.95015126
p037127,0.8382112
p230221,0.84186375
p116615,0.61916095
p106275,0.96275926
p070918,0.8824046
p144291,0.9526476
p116102,0.94239175
p070029,0.9322449
p107356,0.951479
p031939,0.9118471
p044085,0.96997964
p081434,0.84043753
p010969,0.9298866
p156550,0.9430795
p048313,0.97024184
p139731,0.504203
p048657,0.8612463
p234430,0.9734935
p000139,0.9131221
p240738,0.97411853
p047586,0.98138237
p006436,0.9335411
p211511,0.93011194
p220000,0.78605604
p183686,0.88636184
p045806,0.8694873
p246581,0.9061991
p228935,0.9655659
p176012,0.9318993
p229479,0.9378313
p040831,0.7106166
p091593,0.95640945
p151958,0.6886007
p123997,0.9394267
p017606,0.9644731
p009578,0.8050942
p245173,0.7105543
p130035,0.584994
p207223,0.7103436
p069404,0.69832814
p186381,0.97163916
p056807,0.96320355
p131333,0.89886075
p164867,0.8955016
p250930,0.9671536
p051288,0.9573477
p183614,0.9720191
p141508,0.8297554
p240150,0.9249984
p253358,0.93571675
p055462,0.96613485
p100203,0.6080643
p216335,0.9141004
p215118,0.4099734
p123326,0.9266202
p216043,0.9794205
p190639,0.8657231
p035608,0.9709221
p194533,0.8790232
p005330,0.9262951
p217173,0.7931066
p243195,0.95730203
p204162,0.807193
p088899,0.93734354
p218286,0.9741759
p024688,0.93131256
p148544,0.6584401
p061723,0.9331909
p062414,0.976082
p150704,0.8971796
p064902,0.7917684
p160114,0.84745413
p054727,0.8957902
p233164,0.9691237
p164497,0.9394103
p164688,0.98354775
p226536,0.91532403
p037347,0.9677587
p052732,0.9508915
p254241,0.9424854
p041330,0.89540815
p125834,0.9445737
p187995,0.9656636
p155536,0.9509233
p026602,0.43839455
p115298,0.5115527
p106596,0.8723173
p165433,0.9113435
p098471,0.92006
p063585,0.9789283
p189501,0.82306266
p194442,0.9543116
p192882,0.698785
p224095,0.95417374
p229044,0.9516667
p184985,0.908788
p043794,0.9685855
p187912,0.94444555
p014440,0.58033234
p216020,0.9435215
p006709,0.76712626
p203245,0.9201078
p187425,0.8491326
p144561,0.87190837
p136090,0.939376
p087047,0.3568917
p238272,0.5550762
p130693,0.883846
p226289,0.9526978
p180326,0.9021358
p040632,0.9428906
p034499,0.96053624
p239997,0.96022564
p052235,0.93421555
p038927,0.94251215
p131142,0.85556066
p204524,0.90477073
p140243,0.95384187
p180887,0.9339404
p219599,0.8677843
p017822,0.7811997
p217021,0.96989036
p147821,0.79764575
p248139,0.9509207
p259140,0.91284496
p223647,0.9691799
p093002,0.9407699
p221872,0.90629345
p215459,0.97896177
p066620,0.93370736
p081060,0.32593387
p183977,0.9209458
p240306,0.8185349
p213029,0.9556274
