id,project_is_approved
p036502,0.77819765
p039565,0.7848013
p233823,0.8105155
p185307,0.7121702
p013780,0.83613616
p063374,0.75449014
p103285,0.8069456
p181781,0.83819014
p114989,0.80875045
p191410,0.82804185
p030093,0.81948364
p226941,0.72772074
p225747,0.72073674
p173555,0.7841629
p055350,0.7956268
p060293,0.85036296
p199435,0.833965
p074849,0.75165474
p232007,0.660988
p037127,0.7720201
p230221,0.82774615
p116615,0.7378062
p106275,0.8196752
p070918,0.7890273
p144291,0.7953987
p116102,0.7688869
p070029,0.76758116
p107356,0.8506691
p031939,0.83083713
p044085,0.8015745
p081434,0.790647
p010969,0.8204506
p156550,0.82787293
p048313,0.7876932
p139731,0.64507324
p048657,0.6941681
p234430,0.77297586
p000139,0.7823433
p240738,0.8248915
p047586,0.823825
p006436,0.80918247
p211511,0.8203061
p220000,0.5915646
p183686,0.72913945
p045806,0.7398526
p246581,0.8068032
p228935,0.8064776
p176012,0.80550665
p229479,0.7993563
p040831,0.6308458
p091593,0.8294211
p151958,0.67903215
p123997,0.8357691
p017606,0.80618006
p009578,0.8169502
p245173,0.6616749
p130035,0.6755427
p207223,0.59410876
p069404,0.7713516
p186381,0.8491141
p056807,0.7813049
p131333,0.7887559
p164867,0.67622113
p250930,0.6762592
p051288,0.7780703
p183614,0.8066537
p141508,0.7066445
p240150,0.7970857
p253358,0.83952755
p055462,0.8288502
p100203,0.70797336
p216335,0.79444724
p215118,0.70470023
p123326,0.8252617
p216043,0.8335013
p190639,0.739309
p035608,0.8124195
p194533,0.80656886
p005330,0.75359964
p217173,0.73249936
p243195,0.7958857
p204162,0.7484811
p088899,0.82328993
p218286,0.792469
p024688,0.82437545
p148544,0.6093362
p061723,0.81549656
p062414,0.8507593
p150704,0.83076435
p064902,0.8344744
p160114,0.657019
p054727,0.77412
p233164,0.82434064
p164497,0.7880035
p164688,0.8503318
p226536,0.84852034
p037347,0.8405485
p052732,0.7988327
p254241,0.8353422
p041330,0.79935646
p125834,0.77724683
p187995,0.8374024
p155536,0.7723572
p026602,0.6766918
p115298,0.56372106
p106596,0.79079527
p165433,0.81667835
p098471,0.805043
p063585,0.8365364
p189501,0.70585525
p194442,0.8047054
p192882,0.72889876
p224095,0.8237061
p229044,0.66782176
p184985,0.8334889
p043794,0.8149307
p187912,0.814443
p014440,0.66493726
p216020,0.8077083
p006709,0.7650928
p203245,0.829302
p187425,0.76688254
p144561,0.82817274
p136090,0.8303132
p087047,0.56287974
p238272,0.7163442
p130693,0.786519
p226289,0.8059785
p180326,0.7105692
p040632,0.8408473
p034499,0.8113839
p239997,0.83812493
p052235,0.7784102
p038927,0.8314204
p131142,0.752433
p204524,0.64105046
p140243,0.7882457
p180887,0.82252437
p219599,0.8219595
p017822,0.75038004
p217021,0.78232527
p147821,0.7395075
p248139,0.7825792
p259140,0.83580136
p223647,0.8163735
p093002,0.81938726
p221872,0.76480633
p215459,0.79759294
p066620,0.7976643
p081060,0.6161214
p183977,0.8186665
p240306,0.832831
p213029,0.84634244
p212992,0.77425057
p180302,0.5622421
p235350,0.81918824
p237684,0.82667625
p238717,0.63857543
p193494,0.81835383
p049944,0.7879923
p136607,0.742893
p118854,0.7686441
p234505,0.8414366
p052216,0.7598845
p245427,0.66821367
p158118,0.7905163
p071001,0.8347913
p182501,0.8118691
p146058,0.7331415
p042293,0.80094355
p115004,0.8407321
p115192,0.8129465
p236095,0.75856274
p119822,0.7983677
p162357,0.8139451
p003113,0.76556444
p123344,0.8284363
p187063,0.8412617
p201306,0.7650644
p211816,0.8334359
p195741,0.8119528
p099269,0.75329614
p107791,0.69322443
p115615,0.62745726
p197316,0.7500658
p177771,0.711839
p186739,0.80834013
p063841,0.82861197
p203033,0.80524665
p233835,0.81536365
p212550,0.7873239
p258544,0.7252838
p044379,0.79663
p184796,0.80071014
p143384,0.8282891
p031504,0.788724
p175812,0.6406926
p138696,0.8268017
p053239,0.84431183
p186474,0.79704267
p251442,0.81619936
p248874,0.5598528
p202078,0.7832966
p028190,0.8173977
p186116,0.61617076
p114742,0.7787107
p127236,0.6906605
p042695,0.73441756
p074651,0.74502355
p135613,0.6713641
p103073,0.7106285
p047101,0.7474951
p230013,0.7887984
p121216,0.80352646
p069480,0.79477084
p003912,0.8266616
p004106,0.65983164
p094984,0.82581013
p149901,0.793639
p002664,0.7646896
p122811,0.80464405
p245373,0.62631416
p234758,0.8025887
p195088,0.70658666
p006052,0.8119057
p202247,0.703935
p016144,0.73672974
p074355,0.8198961
p234396,0.7126145
p118623,0.560517
p158160,0.7738087
p127789,0.8406412
p061523,0.7750676
p026905,0.81409276
p005210,0.7038899
p051538,0.69256574
p169365,0.73286223
p219524,0.78600377
p211297,0.6900963
p134575,0.7033596
p232835,0.7767395
p123512,0.83612615
p126679,0.7184719
p066635,0.8205726
p034114,0.7511833
p093160,0.82662964
p107177,0.8424423
p050042,0.6923977
p183233,0.77136654
p016944,0.8083591
p237630,0.8418403
p014358,0.83927685
p170707,0.83253026
p099599,0.6551083
p137096,0.8119727
p259044,0.8269374
p257275,0.7857558
p128547,0.6380596
p028446,0.82902884
p141276,0.5803833
p188159,0.7941567
p016540,0.7412946
p248857,0.71272296
p091786,0.67559904
p162522,0.7897477
p159485,0.7513966
p127549,0.7584892
p067599,0.82541496
p015936,0.81647444
p107409,0.7469828
p049510,0.8005282
p209945,0.7314761
p110080,0.7713684
p071144,0.82997084
p129069,0.8013689
p215280,0.8222539
p100325,0.7783374
p166837,0.758848
p233488,0.7350345
p166669,0.77214843
p005267,0.7387144
p216482,0.6254808
p220659,0.65974003
p219548,0.59179616
p017698,0.758514
p242756,0.73245
p106309,0.8007931
p228303,0.81502783
p196940,0.8389067
p198892,0.79712874
p226846,0.8316441
p104554,0.8427976
p152306,0.7264346
p230685,0.8154898
p090023,0.78849334
p216489,0.7492212
p196513,0.8240958
p054598,0.64816546
p002897,0.7800741
p108330,0.7156079
p028143,0.6311157
p036719,0.64826643
p122152,0.6443241
p249357,0.8188484
p203970,0.7768187
p229272,0.6447207
p193975,0.76122135
p047179,0.8237881
